iter	Logloss
0	0.6851647598
1	0.6770519746
2	0.6695355383
3	0.6625933524
4	0.6558659354
5	0.6495077099
6	0.6427419152
7	0.6362860483
8	0.6306344208
9	0.6247735195
10	0.6192720699
11	0.6137922474
12	0.6085874049
13	0.6036137531
14	0.5989274215
15	0.5941262961
16	0.589465401
17	0.5850972918
18	0.5807897719
19	0.5763044736
20	0.5720892737
21	0.5679478739
22	0.5637814346
23	0.5598280695
24	0.5560971922
25	0.5523288509
26	0.5486879368
27	0.5451459361
28	0.5416348916
29	0.5381954391
30	0.5348298567
31	0.5316849841
32	0.5284843638
33	0.5252175882
34	0.5219951504
35	0.5189283425
36	0.5159595297
37	0.5128391697
38	0.5100278767
39	0.5071108426
40	0.5044024692
41	0.5016151108
42	0.498981887
43	0.4964153771
44	0.4938277636
45	0.4911324777
46	0.4884979206
47	0.4860992927
48	0.4836419517
49	0.4811148945
50	0.4788231198
51	0.4762754338
52	0.4739778967
53	0.4716338506
54	0.4694798619
55	0.4673084884
56	0.4654301109
57	0.4633907325
58	0.4613768857
59	0.4593738227
60	0.4573412082
61	0.4552801878
62	0.4534148078
63	0.4513759021
64	0.4494776836
65	0.4475773006
66	0.4457643561
67	0.4439988577
68	0.4421850039
69	0.4404237821
70	0.4387934774
71	0.4369405571
72	0.4352146344
73	0.433527032
74	0.4318502506
75	0.4301540358
76	0.4286030283
77	0.4270565091
78	0.4254750511
79	0.4239011384
80	0.4223323549
81	0.4209305315
82	0.4193375034
83	0.4178556343
84	0.4162632642
85	0.4147914249
86	0.4133791668
87	0.4119111329
88	0.4104553035
89	0.4090117219
90	0.4076806952
91	0.4064114152
92	0.4050714444
93	0.4038752098
94	0.4025919656
95	0.4013986693
96	0.4001946111
97	0.3988226281
98	0.397483501
99	0.3962294176
100	0.3949797079
101	0.3939565347
102	0.3926725065
103	0.3914780526
104	0.3903165103
105	0.3891811478
106	0.3881477609
107	0.3869599509
108	0.385850129
109	0.3847306157
110	0.3836138623
111	0.3826987188
112	0.3816032113
113	0.3804799501
114	0.3793623331
115	0.3783294013
116	0.3772928892
117	0.3762602531
118	0.3752513719
119	0.3742347395
120	0.3732191626
121	0.372237128
122	0.3712659031
123	0.3702082477
124	0.3692366303
125	0.3683373271
126	0.367356266
127	0.3663600307
128	0.3654426088
129	0.3644861515
130	0.3635603161
131	0.3626491016
132	0.3617764733
133	0.3609487264
134	0.360019631
135	0.359109647
136	0.358255683
137	0.3574252716
138	0.3565959857
139	0.3557539658
140	0.3549087621
141	0.3540831623
142	0.353262077
143	0.3524529142
144	0.3516090314
145	0.3508412133
146	0.3500695526
147	0.3493390702
148	0.348528342
149	0.3478434011
150	0.3470504576
151	0.3463336285
152	0.3455796428
153	0.3448601039
154	0.3441916064
155	0.3434833198
156	0.3427650242
157	0.3420249987
158	0.3412882347
159	0.3405671601
160	0.3397959673
161	0.3391064919
162	0.3383777313
163	0.3376405017
164	0.3369532107
165	0.3363103428
166	0.3356528181
167	0.3349812317
168	0.3343020668
169	0.3336136298
170	0.3329614683
171	0.332301097
172	0.3316447263
173	0.3310115012
174	0.3303265643
175	0.3296968895
176	0.329023756
177	0.3283711811
178	0.3277636268
179	0.3270870964
180	0.3264503917
181	0.3257606514
182	0.3251149168
183	0.3245031777
184	0.3239016462
185	0.3231973257
186	0.3225402673
187	0.321948122
188	0.3213472345
189	0.3207369142
190	0.3201237047
191	0.3195265291
192	0.3189911555
193	0.3184667959
194	0.3179286476
195	0.3173305534
196	0.3168233748
197	0.3162395434
198	0.3156676906
199	0.3150862745
200	0.3145351991
201	0.3139435255
202	0.3133463357
203	0.312772923
204	0.3122531141
205	0.3116892706
206	0.3110605
207	0.3104865028
208	0.3099198621
209	0.3093290977
210	0.3087411142
211	0.308186332
212	0.3076107365
213	0.3070613869
214	0.3065560367
215	0.3060085401
216	0.3054693625
217	0.304915771
218	0.3043672652
219	0.3038316185
220	0.3033184663
221	0.3027910156
222	0.3022879023
223	0.3017207283
224	0.3012053748
225	0.3007035616
226	0.3001720849
227	0.299616774
228	0.2990601618
229	0.2985037974
230	0.2979592477
231	0.2974345678
232	0.2969464339
233	0.2963985332
234	0.2959062509
235	0.2954185587
236	0.2948942832
237	0.2943660264
238	0.2937965509
239	0.2932727278
240	0.2927883135
241	0.2922515699
242	0.2917314983
243	0.2913070368
244	0.2908083577
245	0.2903134724
246	0.2898010957
247	0.2892925894
248	0.2887756978
249	0.2882857465
250	0.2877720626
251	0.2872788038
252	0.2867692423
253	0.2862902832
254	0.285829321
255	0.2853621356
256	0.2848757136
257	0.284474951
258	0.2839827569
259	0.2834661613
260	0.283011213
261	0.2826005493
262	0.2821412459
263	0.2817182303
264	0.2812436661
265	0.2807771326
266	0.2802820097
267	0.2798212104
268	0.2793768355
269	0.2789452395
270	0.2784391819
271	0.2779966989
272	0.2775229854
273	0.277078987
274	0.2766369997
275	0.2761624798
276	0.2757343155
277	0.2753084239
278	0.274902564
279	0.2744361857
280	0.2739765197
281	0.2735295938
282	0.2731337054
283	0.2727393798
284	0.2723370896
285	0.2718557387
286	0.2714725931
287	0.2710904976
288	0.2706705957
289	0.2702373162
290	0.2697580931
291	0.2693612507
292	0.2689826901
293	0.2685389797
294	0.2681590994
295	0.2676990106
296	0.2673174641
297	0.2669514521
298	0.266561904
299	0.2661645736
