iter	Passed	Remaining
0	13	3890
1	22	3293
2	32	3173
3	42	3109
4	52	3084
5	61	3035
6	71	2987
7	80	2942
8	90	2924
9	100	2909
10	110	2896
11	120	2882
12	129	2859
13	139	2852
14	149	2840
15	159	2839
16	171	2848
17	182	2853
18	192	2851
19	203	2851
20	213	2839
21	224	2834
22	235	2834
23	246	2831
24	256	2820
25	266	2812
26	276	2798
27	287	2788
28	297	2780
29	307	2771
30	317	2756
31	327	2745
32	338	2737
33	348	2727
34	358	2717
35	368	2703
36	378	2691
37	389	2684
38	399	2674
39	410	2666
40	420	2654
41	430	2645
42	440	2632
43	450	2622
44	461	2615
45	471	2606
46	482	2597
47	492	2588
48	503	2580
49	514	2570
50	524	2558
51	534	2549
52	546	2544
53	556	2537
54	567	2526
55	578	2519
56	589	2513
57	599	2503
58	610	2492
59	620	2482
60	630	2470
61	640	2460
62	651	2449
63	662	2441
64	673	2434
65	684	2425
66	694	2414
67	704	2403
68	715	2395
69	726	2386
70	736	2376
71	747	2366
72	758	2357
73	768	2348
74	779	2338
75	790	2329
76	801	2319
77	811	2308
78	821	2297
79	831	2286
80	841	2274
81	851	2264
82	862	2255
83	872	2244
84	883	2235
85	893	2223
86	904	2213
87	916	2206
88	926	2196
89	937	2186
90	947	2176
91	957	2165
92	968	2156
93	978	2145
94	989	2135
95	999	2124
96	1010	2113
97	1020	2104
98	1031	2093
99	1041	2083
100	1051	2072
101	1062	2062
102	1072	2051
103	1083	2041
104	1093	2030
105	1103	2019
106	1114	2009
107	1123	1997
108	1133	1986
109	1143	1975
110	1153	1964
111	1163	1952
112	1172	1941
113	1182	1929
114	1192	1918
115	1201	1906
116	1211	1895
117	1221	1884
118	1231	1873
119	1243	1865
120	1253	1854
121	1263	1843
122	1272	1831
123	1282	1819
124	1291	1807
125	1301	1797
126	1310	1785
127	1320	1774
128	1330	1763
129	1340	1752
130	1349	1741
131	1360	1731
132	1370	1720
133	1379	1709
134	1389	1698
135	1399	1687
136	1409	1677
137	1420	1667
138	1429	1655
139	1439	1644
140	1449	1634
141	1459	1624
142	1469	1613
143	1478	1602
144	1488	1591
145	1498	1580
146	1508	1569
147	1518	1559
148	1528	1548
149	1537	1537
150	1547	1526
151	1556	1515
152	1567	1505
153	1577	1495
154	1586	1484
155	1596	1473
156	1606	1462
157	1616	1453
158	1626	1442
159	1635	1430
160	1645	1420
161	1655	1410
162	1665	1399
163	1675	1389
164	1684	1378
165	1694	1367
166	1704	1357
167	1713	1346
168	1723	1335
169	1732	1325
170	1742	1314
171	1753	1304
172	1764	1294
173	1773	1284
174	1784	1274
175	1794	1264
176	1805	1254
177	1815	1244
178	1825	1234
179	1836	1224
180	1847	1214
181	1858	1204
182	1869	1195
183	1880	1185
184	1891	1175
185	1901	1165
186	1913	1156
187	1923	1146
188	1934	1136
189	1945	1126
190	1955	1115
191	1969	1107
192	1979	1097
193	1990	1087
194	2001	1077
195	2012	1067
196	2022	1057
197	2034	1048
198	2045	1038
199	2055	1027
200	2065	1017
201	2075	1006
202	2084	996
203	2094	985
204	2104	975
205	2114	964
206	2123	954
207	2133	943
208	2143	933
209	2153	922
210	2162	912
211	2172	901
212	2182	891
213	2193	881
214	2203	871
215	2215	861
216	2225	851
217	2234	840
218	2244	830
219	2255	820
220	2265	809
221	2275	799
222	2285	789
223	2295	778
224	2304	768
225	2314	757
226	2324	747
227	2334	737
228	2343	726
229	2354	716
230	2364	706
231	2374	696
232	2385	685
233	2396	675
234	2407	665
235	2417	655
236	2426	645
237	2436	634
238	2447	624
239	2458	614
240	2467	604
241	2478	593
242	2488	583
243	2498	573
244	2508	563
245	2517	552
246	2527	542
247	2537	532
248	2548	521
249	2559	511
250	2570	501
251	2581	491
252	2592	481
253	2602	471
254	2613	461
255	2623	450
256	2635	440
257	2646	430
258	2658	420
259	2669	410
260	2679	400
261	2700	391
262	2709	381
263	2718	370
264	2728	360
265	2737	349
266	2746	339
267	2755	328
268	2764	318
269	2774	308
270	2783	297
271	2792	287
272	2802	277
273	2811	266
274	2821	256
275	2831	246
276	2841	235
277	2850	225
278	2860	215
279	2871	205
280	2881	194
281	2890	184
282	2900	174
283	2909	163
284	2919	153
285	2929	143
286	2938	133
287	2951	122
288	2962	112
289	2973	102
290	2985	92
291	2995	82
292	3006	71
293	3018	61
294	3029	51
295	3039	41
296	3051	30
297	3061	20
298	3071	10
299	3083	0
